first_name,second_name,team,minutes,bps,expected_assists_per_90,expected_goals_per_90,expected_goal_involvements_per_90,threat,date
Boubacar,Traoré,20,0,0,0.0,0.0,0.0,0.0,24-02-2026
Tawanda,Chirewa,20,25,4,0.0,0.0,0.0,0.0,24-02-2026
Tom,Edozie,20,6,22,0.0,2.55,2.55,17.0,24-02-2026
Enso,González Medina,20,0,0,0.0,0.0,0.0,0.0,24-02-2026
Joe,Hodge,20,0,0,0.0,0.0,0.0,0.0,24-02-2026
Jhon,Arias,20,1117,175,0.05,0.27,0.32,148.0,24-02-2026
Luke,Rawlings,20,0,0,0.0,0.0,0.0,0.0,24-02-2026
Temple,Ojinnaka,20,0,0,0.0,0.0,0.0,0.0,24-02-2026
Ethan,Sutherland,20,0,0,0.0,0.0,0.0,0.0,24-02-2026
Jerome,Abbey,20,0,0,0.0,0.0,0.0,0.0,24-02-2026
Angel,Gomes,20,177,46,0.04,0.03,0.07,10.0,24-02-2026
